Step,Branin,Himmelblau,Rosenbrock,PressureVessel,GearTrain,G06,WeldedBeam
110,0.397912,65.089305,0.146815,38.120649,-31372.121830,-6947.845310,3.044717
111,0.397903,65.078650,0.147060,38.142725,-31368.156671,-6947.379560,3.044956
112,0.397897,65.062216,0.146682,38.087299,-31360.730480,-6946.870848,3.045169
113,0.397897,65.040999,0.146510,37.962043,-31369.478104,-6946.334851,3.045359
114,0.397897,65.015429,0.146459,37.774707,-31370.149506,-6945.786210,3.045528
115,0.397894,65.029024,0.145948,37.532941,-31361.809657,-6945.238331,3.045679
116,0.397889,65.033384,0.145564,37.652078,-31367.121420,-6944.703224,3.045812
117,0.397889,65.029846,0.146281,37.692407,-31371.043703,-6944.191406,3.045930
118,0.397891,65.067624,0.146604,37.713548,-31363.348392,-6943.711841,3.046033
119,0.397890,65.095279,0.145623,37.734280,-31365.770350,-6943.271930,3.046124
120,0.397888,65.113738,0.145885,37.735431,-31370.513506,-6942.876173,3.046204
121,0.397888,65.123839,0.146123,37.669882,-31365.821473,-6942.529529,3.046273
122,0.397889,65.125665,0.147381,37.538343,-31364.670103,-6942.235449,3.046333
123,0.397890,65.120677,0.146523,37.795690,-31368.226843,-6941.995947,3.046384
124,0.397890,65.109515,0.146450,37.955773,-31367.294596,-6941.811686,3.046428
125,0.397889,65.092755,0.147125,38.024709,-31363.749145,-6941.682089,3.046465
126,0.397890,65.118386,0.146203,38.018754,-31364.290019,-6941.605470,3.046496
127,0.397891,65.134936,0.145967,37.973794,-31366.096899,-6941.579169,3.046520
128,0.397891,65.141150,0.146170,37.901460,-31362.901701,-6941.599704,3.046540
129,0.397890,65.139187,0.145220,37.789614,-31356.038026,-6941.662919,3.046555
130,0.397890,65.130714,0.146185,37.613825,-31329.202434,-6941.764133,3.046566
131,0.397891,65.174994,0.145632,37.380123,-31235.382526,-6941.898287,3.046573
132,0.397891,65.251502,0.146596,37.644713,-30583.890104,-6942.060083,3.046577
133,0.397890,65.313164,0.146278,37.837858,-29120.374262,-6942.244121,3.046577
134,0.397890,65.358899,0.146687,37.994931,-27739.570877,-6942.445016,3.046575
135,0.397890,65.392570,0.147077,38.115117,-26859.132791,-6942.657512,3.046570
136,0.397890,65.416030,0.146566,38.168835,-26162.288563,-6942.876577,3.046563
137,0.397889,65.430299,0.146685,38.134923,-25676.278073,-6943.097487,3.046554
138,0.397889,65.482172,0.146633,38.021724,-25266.139979,-6943.315896,3.046543
139,0.397889,65.522099,0.146000,37.837812,-25048.338013,-6943.527893,3.046530
140,0.397889,65.551190,0.145877,37.591774,-24943.008575,-6943.730034,3.046516
141,0.397888,65.570448,0.146540,37.645454,-24908.209856,-6943.919381,3.046500
142,0.397888,65.580786,0.147261,37.615234,-24904.534361,-6944.093503,3.046483
143,0.397888,65.583029,0.145950,37.540335,-24908.535583,-6944.250669,3.046465
144,0.397888,65.577926,0.146402,37.455299,-24916.103595,-6944.391134,3.046446
145,0.397888,65.566153,0.146320,37.356020,-24926.156011,-6944.513891,3.046426
146,0.397887,65.548323,0.147611,37.643229,-24928.912979,-6944.618336,3.046405
147,0.397888,65.524992,0.146844,37.843429,-24930.968977,-6944.704246,3.046384
148,0.397888,65.496661,0.146775,37.957605,-24935.340487,-6944.771743,3.046362
149,0.397887,65.463784,0.147346,37.985857,-24942.141127,-6944.821262,3.046339
150,0.397887,65.426773,0.146375,37.931839,-24952.828212,-6944.853514,3.046315
